PBCAT,,,,,,,
Statewide Bicycle Crash Data - City by Crash Severity,,,,,,,
"For Years 1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012",,,,,,,
,,,,,,,
City by Crash Severity,Unknown Injury,K: Killed,A: Disabling,B: Evident,C: Possible,O: No Injury,Total
,,,Injury,Injury,Injury,,
None - Rural Crash,15,220,514,"1,783","1,247",152,"3,931"
Aberdeen,0,0,0,2,2,0,4
Ahoskie,0,0,1,4,10,0,15
Alamance,0,0,0,1,0,0,1
Albemarle,0,0,3,22,10,1,36
Alliance,0,0,0,2,0,0,2
Andrews,0,0,0,3,2,2,7
Angier,0,0,0,6,0,3,9
Apex,0,1,0,26,15,3,45
Archdale,0,0,0,0,2,0,2
Asheboro,0,0,2,27,32,3,64
Asheville,0,3,21,130,81,15,250
Atkinson,0,0,0,1,0,0,1
Atlantic Beach,0,0,1,2,1,3,7
Ayden,0,0,2,0,8,1,11
Badin,0,0,0,0,1,0,1
Bailey,0,0,0,0,0,1,1
Bayboro,0,0,0,2,2,0,4
Beaufort,0,0,1,7,9,3,20
Belhaven,0,0,0,2,0,1,3
Belmont,0,0,0,14,5,5,24
Belville,0,0,0,0,1,0,1
Benson,0,0,0,4,9,0,13
Bermuda Run,0,0,0,0,1,0,1
Bessemer City,0,0,2,1,0,0,3
Bethel,0,0,1,0,0,0,1
Beulaville,0,0,0,2,0,0,2
Biltmore Forest,0,0,0,1,0,0,1
Biscoe,0,0,0,0,1,0,1
Black Creek,0,0,0,1,0,0,1
Black Mountain,0,0,1,3,2,1,7
Blowing Rock,0,0,0,1,0,0,1
Bogue,0,0,1,1,0,0,2
Boiling Spring Lakes,0,0,0,2,0,0,2
Boiling Springs,0,0,1,0,1,2,4
Bolton,0,0,0,1,0,0,1
Boone,2,1,6,37,15,16,77
Brevard,0,0,1,3,4,1,9
Bridgeton,0,0,0,1,2,0,3
Brunswick,0,0,0,2,0,0,2
Bryson City,0,0,1,1,3,0,5
Bunn,0,0,0,0,1,1,2
Burgaw,0,0,0,2,3,0,5
Burlington,0,4,11,65,29,4,113
Calabash,0,0,0,0,0,1,1
Canton,0,0,0,1,0,0,1
Carolina Beach,2,0,3,8,3,5,21
Carrboro,1,1,8,35,36,6,87
Carthage,0,0,0,2,0,0,2
Cary,1,0,13,123,74,23,234
Cedar Point,0,0,0,1,0,0,1
Chadbourn,0,0,1,7,9,2,19
