City,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
None - Rural Crash,262,298,307,222,266,256,232,248,239,216,270,221,208,221,247,218,"3,931"
Aberdeen,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4
Ahoskie,0,0,1,0,3,0,1,3,1,2,1,1,0,0,1,1,15
Alamance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Albemarle,3,5,4,4,5,1,1,2,2,0,2,0,2,0,3,2,36
Alliance,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Andrews,0,2,0,1,0,0,0,0,0,0,0,1,1,2,0,0,7
Angier,0,1,0,0,0,1,1,0,1,2,1,0,1,1,0,0,9
Apex,0,4,1,1,2,3,3,3,2,4,4,1,5,2,6,4,45
Archdale,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
Asheboro,3,3,7,3,3,4,10,1,0,7,2,6,4,3,4,4,64
Asheville,21,10,12,12,8,6,15,17,16,14,24,21,14,20,22,18,250
Atkinson,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Atlantic Beach,1,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,7
Ayden,0,1,2,0,4,0,1,0,0,0,0,0,1,1,0,1,11
Badin,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Bailey,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Bayboro,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
Beaufort,1,0,0,1,1,4,1,1,0,0,5,2,2,0,1,1,20
Belhaven,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3
Belmont,0,0,6,1,1,2,0,2,2,1,3,4,0,0,2,0,24
Belville,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Benson,1,0,0,0,0,0,0,0,1,4,2,2,1,0,2,0,13
Bermuda Run,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Bessemer City,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3
Bethel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beulaville,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
Biltmore Forest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Biscoe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Black Creek,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Black Mountain,0,0,1,1,0,0,0,0,0,2,1,1,1,0,0,0,7
