PBCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statewide Bicycle Crash Data - Crash Severity by Crash Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For Years 1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Severity by Crash Type,Backing Vehicle,Bicycle Only,Bicyclist Failed,Bicyclist Failed,Bicyclist Failed,Bicyclist Intentionally,Bicyclist Left,Bicyclist Left,Bicyclist Lost,Bicyclist Lost,Bicyclist Lost,Bicyclist Lost,Bicyclist Overtaking,Bicyclist Overtaking,Bicyclist Overtaking,Bicyclist Overtaking,Bicyclist Overtaking,Bicyclist Ride,Bicyclist Ride,Bicyclist Ride,Bicyclist Ride,Bicyclist Ride,Bicyclist Ride,Bicyclist Ride,Bicyclist Ride,Bicyclist Ride,Bicyclist Right,Bicyclist Right,Bicyclist Turning,Bicyclist Turning,Bicyclist Turning,Bicylist Lost,Crossing Paths,Crossing Paths,Crossing Paths,Head-On - Bicyclist,Head-On - Motorist,Head-On - Unknown,Motorist Drive,Motorist Drive,Motorist Drive,Motorist Drive,Motorist Drive,Motorist Drive,Motorist Drive,Motorist Drive,Motorist Drive,Motorist Drive,Motorist Intentionally,Motorist Left,Motorist Left,Motorist Lost,Motorist Lost,Motorist Lost,Motorist Lost,Motorist Lost,Motorist Overtaking,Motorist Overtaking,Motorist Overtaking,Motorist Overtaking,Motorist Right,Motorist Right,Motorist Right,Motorist Right,Motorist Turn,Motorist Turning,Motorist Turning,Motorist Turning,Multiple Threat,Multiple Threat,Non-Roadway,Parallel Paths,Play Vehicle-Related,Sign-Controlled,Signalized,Unknown Approach,Unknown Location,Unknown/Insufficient,Unusual Circumstances,Total
,,,to Clear -,to Clear -,to Clear -,Caused,Turn - Opposite,Turn - Same,Control - Mechanical,Control - Other,"Control - Oversteering,",Control - Surface,- Extended,- Other / Unknown,- Parked Vehicle,- Passing on,- Passing on,Out - Commercial,Out - Midblock,Out - Other,Out - Parallel,Out - Residential,Out - Sign-Controlled,Out - Signalized,Through - Sign-Controlled,Through - Signalized,Turn - Opposite,Turn - Same,Error - Left,Error - Other,Error - Right,Control - Alcohol,- Intersection,- Midblock,- Uncontrolled,,,,In / Out -,Out - Commercial,Out - Midblock,Out - Other,Out - Residential,Out - Right,Out - Sign-Controlled,Out - Signalized,Through - Sign-Controlled,Through - Signalized,Caused,Turn - Opposite,Turn - Same,Control - Alcohol,Control - Mechanical,Control - Other,"Control - Oversteering,",Control - Surface,- Bicyclist,- Misjudged,- Other / Unknown,- Undetected,Turn - Opposite,Turn - Same,Turn on Red,Turn on Red,/ Merge - Other,Error - Left,Error - Other,Error - Right,- Midblock,- Sign-Controlled,,- Other / Unknown,,Intersection,Intersection,Paths,,Information,,
,,,Multiple Threat,Trapped,Unknown,,Direction,Direction,Problems,/ Unknown,"Improper Braking,",Conditions,Door,,,Left,Right,Driveway /,- Unknown,Midblock,Path,Driveway,Intersection,Intersection,Intersection,Intersection,Direction,Direction,Turn,,Turn,/ Drug Impairment,- Other / Unknown,- Other / Unknown,Intersection,,,,Parking,Driveway /,- Unknown,Midblock,Driveway,Turn on Red,Intersection,Intersection,Intersection,Intersection,,Direction,Direction,/ Drug Impairment,Problems,/ Unknown,"Improper Braking,",Conditions,Swerved,Space,,Bicyclist,Direction,Direction,- Opposite,- Same Direction,/ Unknown,Turn,,Turn,,Intersection,,,,- Other / Unknown,- Other / Unknown,,,,,
,,,,,,,,,,,Speed,,,,,,,Alley,,,,,,,,,,,,,,,,,,,,,,Alley,,,,,,,,,,,,,,,Speed,,,,,,,,Direction,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Injury,0,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,3,4,1,0,2,0,4,1,0,2,0,0,0,0,2,1,0,2,1,0,0,2,0,0,0,3,5,0,0,1,0,2,1,0,0,0,0,0,0,4,16,8,0,4,0,0,0,0,1,0,0,0,3,1,0,0,2,2,0,0,0,84
K: Killed,0,0,2,0,0,0,9,39,0,3,0,0,0,1,0,1,0,7,10,10,0,11,6,0,22,7,3,17,4,0,0,1,1,2,5,24,5,0,0,0,0,0,0,0,4,0,0,0,0,7,2,2,0,7,0,0,6,5,74,57,0,8,0,0,0,0,0,0,1,0,4,8,0,1,3,1,0,6,2,388
A: Disabling Injury,8,1,2,4,0,0,32,133,4,7,5,1,0,0,1,1,1,29,52,27,7,71,27,10,164,32,14,38,3,0,2,3,11,9,12,44,3,0,0,15,0,2,3,4,38,1,2,1,2,72,4,0,0,7,1,1,11,21,120,64,4,15,0,0,0,6,1,3,2,0,13,23,0,6,7,5,0,10,4,"1,226"
B: Evident Injury,62,10,10,30,4,2,96,516,46,46,9,7,13,39,33,12,21,132,238,130,53,211,113,61,564,189,35,135,17,1,20,11,95,27,95,180,13,5,4,250,19,15,47,87,501,32,30,23,26,495,76,2,2,26,7,0,97,213,520,182,34,253,1,3,5,36,5,9,14,0,242,85,5,47,79,29,6,80,17,"6,885"
C: Possible Injury,91,1,13,39,0,0,58,344,38,26,9,6,11,20,13,9,10,89,171,97,34,115,64,55,363,176,12,91,31,9,16,9,112,29,57,107,7,4,1,434,18,31,41,141,637,55,38,17,17,288,68,1,1,22,4,1,58,215,347,163,44,211,0,4,2,26,9,7,11,0,281,75,1,53,108,41,6,66,14,"5,893"
O: No Injury,15,1,2,6,1,0,16,64,14,6,5,0,2,8,8,4,5,26,37,20,3,22,13,16,61,32,3,19,4,0,8,3,37,8,18,22,3,1,1,97,6,4,1,19,120,4,2,3,8,59,9,1,0,3,1,1,17,29,47,14,6,54,0,1,1,3,0,2,0,1,100,18,0,12,27,13,2,9,5,"1,213"
