PBCAT,,,,,,,,,,,,,,,,,
Statewide Bicycle Crash Data - Crash Type,,,,,,,,,,,,,,,,,
"For Years 1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Crash Type,Crash Year,,,,,,,,,,,,,,,,Total
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Backing Vehicle,24,15,12,9,14,12,13,14,14,4,12,5,4,9,5,10,176
Bicycle Only,1,3,2,0,2,0,0,0,1,1,1,0,1,1,1,0,14
Bicyclist Failed to Clear - Multiple Threat,0,7,2,2,2,2,0,1,5,1,1,2,2,0,0,2,29
Bicyclist Failed to Clear - Trapped,5,5,3,7,2,5,5,5,11,5,5,8,2,1,4,6,79
Bicyclist Failed to Clear - Unknown,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,5
Bicyclist Intentionally Caused,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
Bicyclist Left Turn - Opposite Direction,16,26,29,14,12,17,12,14,11,18,14,8,3,6,5,7,212
Bicyclist Left Turn - Same Direction,111,90,118,76,77,97,77,66,78,36,39,59,29,60,54,32,"1,099"
Bicyclist Lost Control - Mechanical Problems,7,3,2,0,1,3,3,3,5,9,9,15,7,9,10,16,102
Bicyclist Lost Control - Other / Unknown,1,3,2,3,3,5,4,4,6,6,6,9,11,8,10,7,88
"Bicyclist Lost Control - Oversteering, Improper Braking, Speed",6,4,0,0,1,3,0,1,1,4,1,3,0,0,4,0,28
Bicyclist Lost Control - Surface Conditions,2,0,2,2,1,0,0,1,0,2,0,0,3,1,0,0,14
Bicyclist Overtaking - Extended Door,1,1,2,1,1,3,2,0,4,2,1,1,1,2,0,4,26
Bicyclist Overtaking - Other / Unknown,0,1,3,0,1,3,5,6,6,4,7,6,8,7,5,6,68
Bicyclist Overtaking - Parked Vehicle,4,5,2,2,5,4,2,4,3,1,3,2,2,8,4,5,56
Bicyclist Overtaking - Passing on Left,3,3,3,0,1,1,1,3,0,1,2,1,0,3,4,1,27
Bicyclist Overtaking - Passing on Right,1,3,1,1,2,1,1,1,1,3,2,2,4,1,8,5,37
Bicyclist Ride Out - Commercial Driveway / Alley,16,25,20,22,20,20,22,25,23,18,31,8,6,10,9,8,283
Bicyclist Ride Out - Midblock - Unknown,47,39,51,33,36,34,52,38,38,43,32,18,26,5,6,13,511
Bicyclist Ride Out - Other Midblock,22,28,15,37,21,18,7,7,8,9,13,21,20,16,26,20,288
Bicyclist Ride Out - Parallel Path,0,2,4,2,3,2,4,9,8,7,6,14,5,8,14,10,98
Bicyclist Ride Out - Residential Driveway,46,45,52,28,35,20,32,29,25,19,25,14,11,16,20,13,430
Bicyclist Ride Out - Sign-Controlled Intersection,15,10,12,13,5,7,8,14,11,22,21,22,9,22,25,9,225
Bicyclist Ride Out - Signalized Intersection,5,6,5,4,7,5,8,2,11,19,19,3,6,13,20,9,142
Bicyclist Ride Through - Sign-Controlled Intersection,103,101,98,84,93,84,87,88,83,49,75,53,36,41,39,64,"1,178"
Bicyclist Ride Through - Signalized Intersection,27,33,30,21,31,20,34,41,34,28,29,22,12,19,25,31,437
Bicyclist Right Turn - Opposite Direction,13,13,9,5,4,4,1,3,1,0,6,3,1,1,0,3,67
Bicyclist Right Turn - Same Direction,25,28,32,17,20,19,25,24,24,16,16,12,8,15,13,8,302
Bicyclist Turning Error - Left Turn,7,5,2,9,2,2,3,2,3,7,8,2,0,1,3,3,59
Bicyclist Turning Error - Other,4,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,10
Bicyclist Turning Error - Right Turn,4,0,4,3,1,4,2,3,5,5,2,3,0,5,2,3,46
Bicylist Lost Control - Alcohol / Drug Impairment,2,3,2,1,1,0,3,1,1,5,3,1,0,1,2,1,27
Crossing Paths - Intersection - Other / Unknown,12,20,18,19,16,8,14,19,10,18,25,2,23,25,16,13,258
Crossing Paths - Midblock - Other / Unknown,10,7,4,4,2,6,8,6,5,5,1,4,2,8,1,3,76
Crossing Paths - Uncontrolled Intersection,18,21,12,16,15,15,12,12,11,7,0,7,8,9,10,14,187
