Name	Population
Aberdeen	6,730
Ahoskie	4,945
Alamance	987
Albemarle	15,869
Alliance	767
Andrews	1,761
Angier	4,547
Ansonville	622
Apex	39,768
Arapahoe	566
Archdale	11,597
Archer Lodge	4,456
Asheboro	25,381
Asheville	86,207
Askewville	239
Atkinson	308
Atlantic Beach	1,500
Aulander	878
Aurora	515
Autryville	200
Ayden	4,992
Name	Population
Badin	1,964
Bailey	559
Bakersville	464
Bald Head Island	162
Banner Elk	1,073
Bath	246
Bayboro	1,253
Bear Grass	73
Beaufort	4,088
Beech Mountain	322
Belhaven	1,661
Belmont	10,492
Belville	2,011
Belwood	940
Benson	3,344
Bermuda Run	2,500
Bessemer City	5,358
Bethania	327
Bethel	1,586
Beulaville	1,326
Biltmore Forest	1,364
Biscoe	1,707
Black Creek	774
Black Mountain	8,011
Bladenboro	1,750
Blowing Rock	1,286
Boardman	155
Bogue	709
Boiling Spring Lakes	5,694
Boiling Springs	4,608
Bolivia	144
Bolton	687
Boone	18,089
Boonville	1,215
Bostic	386
Brevard	7,717
Bridgeton	463
Broadway	1,268
Brookford	379
Brunswick	1,118
Bryson City	1,458
Bunn	339
Burgaw	3,926
Burlington	51,195
Burnsville	1,696
Butner	7,698
	
Name	Population
Cajah's Mountain	2,785
Calabash	1,868
Calypso	553
Cameron	289
Candor	845
Canton	4,163
Cape Carteret	2,071
Carolina Beach	5,819
Carolina Shores	3,174
Carrboro	20,159
Carthage	2,250
Cary	142,412
Casar	296
Castalia	263
Caswell Beach	413
Catawba	602
Cedar Point	1,352
Cedar Rock	295
Centerville	87
Cerro Gordo	205
Chadbourn	1,831
Chapel Hill	59,271
Charlotte	765,464
Cherryville	5,779
Chimney Rock Village	112
China Grove	4,147
Chocowinity	822
Claremont	1,389
Clarkton	853
Clayton	16,529
Clemmons	18,960
Cleveland	866
Clinton	8,617
Clyde	1,215
Coats	2,183
Cofield	411
Colerain	199
Columbia	848
Columbus	970
Como	91
Concord	81,461
Conetoe	290
Connelly Springs	1,644
Conover	8,207
Conway	819
Cooleemee	958
Cornelius	26,650
Cove City	397
Cramerton	4,225
Creedmoor	4,223
Creswell	270
Crossnore	192
	
Name	Population
Dallas	4,604
Danbury	187
Davidson	11,594
Denton	1,611
Dillsboro	230
Dobbins Heights	859
Dobson	1,592
Dortches	947
Dover	397
Drexel	1,842
Dublin	340
Duck	379
Dunn	9,427
Durham	236,566
	
Name	Population
Earl	261
East Arcadia	480
East Bend	602
East Laurinburg	297
East Spencer	1,514
Eastover	3,710
Eden	15,428
Edenton	4,975
Elizabeth City	18,449
Elizabethtown	3,575
Elk Park	450
Elkin	3,963
Ellenboro	876
Ellerbe	1,051
Elm City	1,344
Elon	9,620
Emerald Isle	3,717
Enfield	2,536
Erwin	4,487
Eureka	198
Everetts	162
	
Name	Population
Fair Bluff	942
Fairmont	2,642
Fairview	3,408
Faison	987
Faith	807
Falcon	319
Falkland	97
Fallston	600
Farmville	4,695
Fayetteville	209,080
Flat Rock	3,150
Fletcher	7,360
Fontana Dam	20
Forest City	7,435
Forest Hills	366
Fountain	431
Four Oaks	1,950
Foxfire Village	934
Franklin	3,913
Franklinton	1,997
Franklinville	1,157
Fremont	1,253
Fuquay-Varina	19,385
	
Name	Population
Gamewell	4,018
Garland	625
Garner	26,748
Garysburg	1,023
Gaston	1,125
Gastonia	72,507
Gatesville	315
Gibson	532
Gibsonville	6,619
Glen Alpine	1,504
Godwin	141
Goldsboro	35,609
Goldston	272
Graham	14,158
Grandfather Village	25
Granite Falls	4,671
Granite Quarry	2,958
Grantsboro	694
Green Level	2,089
Greenevers	648
Greensboro	275,048
Greenville	86,142
Grifton	2,640
Grimesland	446
Grover	708
	
Name	Population
Halifax	238
Hamilton	403
Hamlet	6,511
Harmony	532
Harrells	203
Harrellsville	104
Harrisburg	13,404
Hassell	84
Havelock	21,128
Haw River	2,309
Hayesville	316
Hemby Bridge	1,516
Henderson	15,214
Hendersonville	13,294
Hertford	2,154
Hickory	40,039
High Point	106,406
High Shoals	696
Highlands	919
Hildebran	1,992
Hillsborough	6,295
Hobgood	346
Hoffman	584
Holden Beach	589
Holly Ridge	1,384
Holly Springs	26,525
Hookerton	410
Hope Mills	15,687
Hot Springs	560
Hudson	3,857
Huntersville	50,141
	
Name	Population
Indian Beach	116
Indian Trail	34,767
	
Name	Population
Jackson	495
Jacksonville	76,520
Jamestown	3,557
Jamesville	486
Jefferson	1,594
Jonesville	2,259
	
Name	Population
Kannapolis	43,311
Kelford	245
Kenansville	852
Kenly	1,344
Kernersville	23,823
Kill Devil Hills	6,880
King	6,857
Kings Mountain	10,577
Kingstown	673
Kinston	21,471
Kittrell	487
Kitty Hawk	3,354
Knightdale	12,340
Kure Beach	2,075
	
Name	Population
La Grange	2,869
Lake Lure	1,202
Lake Park	3,482
Lake Santeetlah	45
Lake Waccamaw	1,465
Landis	3,082
Lansing	158
Lasker	120
Lattimore	468
Laurel Park	2,189
Laurinburg	15,830
Lawndale	603
Leggett	59
Leland	14,732
Lenoir	17,905
Lewiston Woodville	544
Lewisville	12,810
Lexington	18,628
Liberty	2,647
Lilesville	534
Lillington	3,269
Lincolnton	10,487
Linden	130
Littleton	671
Locust	3,001
Long View	4,857
Louisburg	3,367
Love Valley	114
Lowell	3,581
Lucama	1,125
Lumber Bridge	94
Lumberton	21,488
	
Name	Population
Macclesfield	465
Macon	118
Madison	2,216
Maggie Valley	1,226
Magnolia	960
Maiden	3,350
Manteo	1,480
Marietta	175
Marion	8,181
Mars Hill	2,061
Marshall	876
Marshville	2,394
Marvin	5,908
Matthews	28,403
Maxton	2,396
Mayodan	2,461
Maysville	1,055
McAdenville	656
McDonald	112
McFarlan	117
Mebane	11,970
Mesic	220
Micro	444
Middleburg	131
Middlesex	811
Midland	3,256
Midway	4,690
Mills River	6,892
Milton	167
Mineral Springs	2,718
Minnesott Beach	454
Mint Hill	23,905
Misenheimer	670
Mocksville	5,094
Momeyer	222
Monroe	33,201
Montreat	690
Mooresboro	315
Mooresville	34,211
Morehead City	9,163
Morganton	16,743
Morrisville	20,164
Morven	501
Mount Airy	10,383
Mount Gilead	1,179
Mount Holly	14,036
Mount Olive	4,687
Mount Pleasant	1,686
Murfreesboro	3,043
Murphy	1,622
	
Name	Population
Nags Head	2,791
Nashville	5,369
Navassa	1,591
New Bern	29,927
New London	603
Newland	694
Newport	4,231
Newton	12,961
Newton Grove	564
Norlina	1,104
Norman	140
North Topsail Beach	757
North Wilkesboro	4,244
Northwest	764
Norwood	2,367
	
Name	Population
Oak City	313
Oak Island	6,950
Oak Ridge	6,604
Oakboro	1,891
Ocean Isle Beach	575
Old Fort	906
Oriental	908
Orrum	92
Ossipee	553
Oxford	8,482
	
Name	Population
Pantego	178
Parkton	435
Parmele	274
Patterson Springs	617
Peachland	429
Peletier	663
Pembroke	2,815
Pikeville	671
Pilot Mountain	1,489
Pine Knoll Shores	1,351
Pine Level	1,734
Pinebluff	1,358
Pinehurst	15,150
Pinetops	1,351
Pineville	7,963
Pink Hill	533
Pittsboro	4,033
Pleasant Garden	4,545
Plymouth	3,787
Polkton	3,339
Polkville	542
Pollocksville	323
Powellsville	270
Princeton	1,203
Princeville	2,125
Proctorville	117
	
Name	Population
Raeford	4,803
Raleigh	418,131
Ramseur	1,679
Randleman	4,103
Ranlo	3,451
Raynham	95
Red Cross	743
Red Oak	3,452
Red Springs	3,431
Reidsville	14,293
Rennert	386
Rhodhiss	1,070
Rich Square	942
Richfield	618
Richlands	1,618
River Bend	3,117
Roanoke Rapids	15,691
Robbins	1,108
Robbinsville	604
Robersonville	1,468
Rockingham	9,494
Rockwell	2,100
Rocky Mount	56,650
Rolesville	4,137
Ronda	416
Roper	592
Rose Hill	1,669
Roseboro	1,192
Rosman	575
Rowland	1,024
Roxboro	8,226
Roxobel	234
Rural Hall	2,995
Ruth	444
Rutherford College	1,332
Rutherfordton	4,207
	
Name	Population
Saint Helena	399
Saint Pauls	2,245
Salemburg	435
Salisbury	33,442
Saluda	703
Sandy Creek	268
Sandyfield	447
Sanford	28,670
Saratoga	410
Sawmills	5,177
Scotland Neck	2,038
Seaboard	615
Seagrove	226
Sedalia	633
Selma	6,119
Seven Devils	198
Seven Springs	113
Severn	269
Shallotte	3,908
Sharpsburg	2,006
Shelby	20,151
Siler City	8,140
Simpson	417
Sims	306
Smithfield	10,988
Snow Hill	1,611
Southern Pines	12,587
Southern Shores	2,795
Southport	2,987
Sparta	1,751
Speed	79
Spencer	3,235
Spencer Mountain	37
Spindale	4,293
Spring Hope	1,327
Spring Lake	11,744
Spruce Pine	2,165
St. James	3,436
Staley	396
Stallings	14,414
Stanfield	1,503
Stanley	3,592
Stantonsburg	788
Star	883
Statesville	24,710
Stedman	1,061
Stem	498
Stokesdale	5,266
Stoneville	1,046
Stonewall	282
Stovall	417
Sugar Mountain	197
Summerfield	10,657
Sunset Beach	3,722
Surf City	1,919
Swansboro	2,808
Swepsonville	1,169
Sylva	2,680
	
Name	Population
Tabor City	3,941
Tar Heel	118
Tarboro	11,255
Taylorsville	2,095
Taylortown	725
Teachey	384
Thomasville	26,746
Tobaccoville	2,469
Topsail Beach	377
